category,pair_id,layer,cosine_sim
safe-safe,6,10,0.98046875
safe-safe,6,11,0.97265625
safe-safe,6,12,0.97265625
safe-safe,6,13,0.97265625
safe-safe,6,14,0.94140625
safe-safe,6,15,0.921875
safe-safe,6,16,0.8828125
safe-safe,6,17,0.87109375
safe-safe,6,18,0.859375
safe-safe,6,19,0.90625
safe-safe,6,20,0.94140625
safe-safe,6,21,0.93359375
safe-safe,6,22,0.9609375
safe-safe,6,23,0.94921875
safe-safe,6,24,0.97265625
safe-safe,6,25,0.96484375
safe-safe,6,26,0.98046875
safe-safe,6,27,0.9765625
safe-safe,6,28,0.98046875
safe-safe,6,29,0.97265625
safe-safe,6,30,0.9765625
safe-safe,6,31,0.9375
safe-safe,6,32,0.828125
safe-safe,7,1,0.9921875
safe-safe,7,2,0.9921875
safe-safe,7,3,0.99609375
safe-safe,7,4,0.98828125
safe-safe,7,5,0.98828125
safe-safe,7,6,0.9921875
safe-safe,7,7,0.98828125
safe-safe,7,8,0.98046875
safe-safe,7,9,0.9765625
safe-safe,7,10,0.9765625
safe-safe,7,11,0.96875
safe-safe,7,12,0.96484375
safe-safe,7,13,0.9609375
safe-safe,7,14,0.91015625
safe-safe,7,15,0.875
safe-safe,7,16,0.8515625
safe-safe,7,17,0.86328125
safe-safe,7,18,0.89453125
safe-safe,7,19,0.90625
safe-safe,7,20,0.921875
safe-safe,7,21,0.92578125
safe-safe,7,22,0.91796875
safe-safe,7,23,0.92578125
safe-safe,7,24,0.9296875
safe-safe,7,25,0.94921875
safe-safe,7,26,0.953125
safe-safe,7,27,0.96484375
safe-safe,7,28,0.96484375
safe-safe,7,29,0.953125
safe-safe,7,30,0.94140625
safe-safe,7,31,0.890625
safe-safe,7,32,0.7421875
safe-safe,8,1,0.99609375
safe-safe,8,2,0.9921875
safe-safe,8,3,0.984375
safe-safe,8,4,0.96875
safe-safe,8,5,0.9453125
safe-safe,8,6,0.9609375
safe-safe,8,7,0.9609375
safe-safe,8,8,0.9296875
safe-safe,8,9,0.9375
safe-safe,8,10,0.921875
safe-safe,8,11,0.890625
safe-safe,8,12,0.8671875
safe-safe,8,13,0.875
safe-safe,8,14,0.7734375
safe-safe,8,15,0.69140625
safe-safe,8,16,0.59375
safe-safe,8,17,0.6328125
safe-safe,8,18,0.64453125
safe-safe,8,19,0.671875
safe-safe,8,20,0.71875
safe-safe,8,21,0.63671875
safe-safe,8,22,0.7734375
safe-safe,8,23,0.78125
safe-safe,8,24,0.80078125
safe-safe,8,25,0.8359375
safe-safe,8,26,0.87109375
safe-safe,8,27,0.8984375
safe-safe,8,28,0.90625
safe-safe,8,29,0.8828125
safe-safe,8,30,0.87890625
safe-safe,8,31,0.76953125
safe-safe,8,32,0.55078125
safe-safe,9,1,0.99609375
safe-safe,9,2,0.98828125
safe-safe,9,3,0.984375
safe-safe,9,4,0.98046875
safe-safe,9,5,0.98046875
safe-safe,9,6,0.984375
safe-safe,9,7,0.9765625
